lat_orig , long_orig , lat_esp, lon_esp, Origen, Continente, #personas
50.503887,4.469936,40.4167,-3.70325,Bélgica,Europa,4502
42.733883,25.48583,40.4167,-3.70325,Bulgaria,Europa,5351
56.26392,9.501785,40.4167,-3.70325,Dinamarca,Europa,1056
61.92411,25.7481,40.4167,-3.70325,Finlandia,Europa,914
46.227638,2.213749,40.4167,-3.70325,Francia,Europa,12485
53.412,-8.24389,40.4167,-3.70325,Irlanda,Europa,2251
41.8719,12.56,40.4167,-3.70325,Italiav,Europa,20662
52.132,5.2912,40.4167,-3.70325,Países Bajos,Europa,4913
51.919438,19.145136,40.4167,-3.70325,Polonia,Europa,2986
39.399,-8.2244,40.4167,-3.70325,Portugal,Europa,6545
55.3780,-3.43597,40.4167,-3.70325,Reino Unido,Europa,31552
51.165691,10.451526,40.4167,-3.70325,Alemania,Europa,9914
45.943,24.96676,40.4167,-3.70325,Rumanía,Europa,25617
60.128161,18.643501,40.4167,-3.70325,Suecia,Europa,2970
55.1694,23.881275,40.4167,-3.70325,Lituania,Europa,1074
60.472,8.468,40.4167,-3.70325,Noruega,Europa,1464
46.818,8.22,40.4167,-3.70325,Suiza,Europa ,1947
48.37,31.16,40.4167,-3.70325,Ucrania,Europa,7856
47.005,28.857,40.4167,-3.70325,Moldavia,Europa,1538
55.7508,37.61,40.4167,-3.70325,Rusia,Europa,8858

28.033,1.6596,40.4167,-3.70325,Argelia,África,217
13.443182,-15.310139,40.4167,-3.70325,Gambia,África,121
7.946,-1.023,40.4167,-3.70325,Ghana,África,66
9.945,-9.69,40.4167,-3.70325,Guinea,África,45
1.650,10.267,40.4167,-3.70325,Guinea Ecuatorial ,África,317
17.570,-3.99,40.4167,-3.70325,Mali,África,47
31.791,-7.09,40.4167,-3.70325,Marruecos,África,1181
21.00,-10.94,40.4167,-3.70325,Mauritania,África,117
9.0819,8.675,40.4167,-3.70325,Nigeria,África,32
14.497,-14.45,40.4167,-3.70325,Senegal,África,297



37.0902,-95.71,40.4167,-3.70325, Estados Unidos de América, América , 10282
56.13,-106.346,40.4167,-3.70325, Canada, América , 1229

23.634,-102.552,40.4167,-3.70325, México,  América,6348
21.521,-77.78,40.4167,-3.70325, Cuba,  América, 13712
18.735,-70.162,40.4167,-3.70325, República Dominicana,  América,8694

-38.416,-63.616,40.4167,-3.70325, Argentina, América , 25633
-16.29,-63.58,40.4167,-3.70325, Bolivia, América , 6157
-14.23,-51.92,40.4167,-3.70325, Brasil, América , 16685
 4.5708,-74.297,40.4167,-3.70325, Colombia, América , 76193
-35.675,-71.5429,40.4167,-3.70325, Chile, América , 5448
-1.831,-78.183,40.4167,-3.70325, Ecuador, América , 11088
-23.442, -58.443,40.4167,-3.70325, Paraguay, América , 11865


23.684994,90.3563,40.4167,-3.70325, Bangladesh, Asia, 2460
35.8616,104.195,40.4167,-3.70325, China, Asia, 12071
14.6042,120.982,40.4167,-3.70325, Filipinas, Asia, 2867
20.593,78.9628,40.4167,-3.70325, India, Asia, 6867
 30.3753,69.345,40.4167,-3.70325, Pakistán, Asia, 10989
